HTCODE	Description	Htype
HT10	This hazard subtype comprises all epidemic or pandemic outbreaks of human infectious diseases. These include viral, bacterial, parasitic, fungal and Prion diseases.	Epidemic and Pandemic
HT20	This subtype includes pervasive influx and development of insects, parasites, plants or animals affecting crops, humans, animals, fishes, vegetation, stored food and materials, as well as epidemic events on animals and plants that affect ecosystems and the livestock and agricultural sectors.	Infestation
HT30	An extended period of unusually low precipitation that produces shortage of water for people, animals and plants. The degree of precipitation reduction that constitutes a drought varies by locality, climate and environmental sector.	Drought
HT40	Extreme temperature events comprise cold waves (periods of abnormally cold weather that may be aggravated by high winds) and heat waves (periods of abnormally hot and/or unusually humid weather).	Extreme Temperature
HT50	This hazard subtype encompasses additional extreme meteorological conditions such as frost, freeze, snow, ice and severe fog events.	Additional Extreme Meteorological Conditions
HT60	Wildfires are unplanned vegetation fires. They can be due to natural causes (e.g., lightning), or by arson, explosion or accident. This subtype encompasses both land (bush, brush, grassland, scrub and pasture) and forest fires.	Wildfire
HT70	Earthquakes are the results of sudden movements of blocks of the Earth’s crust along geological faults.	Earthquake
HT80	The mass movement hazard subtype encompasses both dry and wet mass movements. Rock falls, landslides, avalanches, liquefaction and subsidence events are considered.	Mass Movement
HT90	This subtype hazard encompasses hazardous volcanic activity that occur during eruptions, such as lava and pyroclastic flows and the ejection of pyroclastic material/tephra (e.g., lapilli, volcanic bomb, volcanic block, etc) and poisonous gases; as well as volcanic activity that occurs in-between eruptions (e.g., lahar and hydrothermal explosions).	Volcanic Activity
HT100	Floods may be classified as flash (sudden floods caused by intense rainfall, the breach of landslide dams or the failure of artificial systems such as embankments, pipelines, dams and dikes), fluvial, groundwater, pluvial/overland and coastal floods (including storm surges). This subtype also encompasses floods caused by glacial lake outbursts and ice jam floods.	Flood
HT110	The storm’s subtype includes tropical (e.g., cyclones, hurricanes and typhoons), extra-tropical (e.g., European winter/windstorm and Nor’easter), as well as geomagnetic and local storms. Local storms encompass, amongst others, electrical storms or thunderstorms, rainstorms, windstorms, snowstorms and blizzard, tornadoes and dust and sandstorms.	Storm
HT120	High waves in ocean or in semi- or fully-enclosed bodies of water, such as lakes or bays, that may damage boats and coastal infrastructure, contributing to flooding and erosion. They are usually generated by strong winds (e.g., ocean swells and rogue waves and seiches) or by underwater earthquakes, volcanic eruptions or landslides (e.g., tsunamis).	Wave Action
HT130	The rise of the level of the water in the sea due to thermal expansion caused by the warming of the oceans and by the melting of land-based ice.	Sea-Level Rise
HT140	Radiation comprises both natural and man-induced contamination of the environment (usually indoor air, soil and water bodies) with radioactive isotopes (e.g., radon, uranium and plutonium).	Radiation
HT150	Water-soil contamination is usually caused by the presence of chemicals, solvents, pesticides, pathogens, heavy metals, or other physical alterations in the natural soil or water environment. The sources are often industrial activities, mining, agriculture and livestock practices and improper disposal of solid waste, of old war ammunitions, and of industrial and hazardous waste and sewage.	Water-Soil Contamination
HT160	molecules, or other harmful materials into Earth's atmosphere, causing health issues and contributing to photochemical smog and acid rain, corrosion of buildings and damaging of trees and crops. It encompasses both slow or gradual and rapid onset air pollution events. The most common pollutants both for indoor and outdoor air are particulate matters, nitrogen dioxides, sulphur dioxides, carbon monoxide, volatile organic compounds, heavy metals and ground level ozone. Air pollution comes from both anthropogenic (e.g., industry, waste incinerators, motor vehicles) and natural sources (e.g., volcanic activity, methane from livestock, dust from regions with little or no vegetation).	Air Pollution
HT170	Erosion and sedimentation transport and deposition on inland and coastal sites.	Erosion and Sedimentation Processes
HT180	Degradation of biodiversity, species extinction, major changes on species distribution, and ecosystem collapse that result in severely depleted resources for industry, fishing, forestry and other economic activities, and on irreversible consequences for the environment and for the humans dependent on it. It can be caused by erosion, desertification, pollution,   deforestation, poor agricultural practice.	Biodiversity Loss and Ecosystem Degradation
