Code	Short Name	Long Name (hover)	Description	Parent	Next	ORDER	Dimension	Data Sources	Units	[+]	[+] comment
1		Basic Infrastructure			1.1	10	0	#N/A	0	No	
1.1		Electricity Supply		1	1.1.1	20	0	Electric power industry, local government	0	No	
1.1.1		Population Access and Coverage	Note that there different types of distribution system design: radial, loop or grid. It is important to consider if individual sources are connected to the main network. This influences the coverage and potential spare capacity of the system, as well as the resilience of the network in terms of redundancy.	1.1	1.1.2	30	Physical	#N/A	0	No	
1.1.2		Local Government Jurisdiction	The different levels of jurisdiction of the local government over the different components of the system can be considered separately.	1.1	1.1.3	40	Organisational	#N/A	0	Yes	The different levels of jurisdiction of the local government over the different components of the system can be considered separately.
1.1.3		Continuity of Operation/Supply	Note that there different types of distribution system design: radial, loop or grid. This influences the resilience of the network in terms of robustness by providing alternatives for a continuous supply. The existence of backup sources is also of relevance. The assessment should consider number of disruptions and corresponding times, as well as sensitive network components which are more likely to cause interruptions.	1.1	1.1.4	50	Functional	#N/A	0	No	
1.1.4		Development Plan	A plan usually contains the definition of vision and objectives, roles and resources, institutional and technical arrangements and, ideally, associated financing means.	1.1	1.1.5	60	Functional	#N/A	0	No	
1.1.5		Contingency Plan	A contingency plan is usually drawn on a risk assessment, and defines preparedness, mitigation, response and recovery measures in case of emergencies. It commonly assigns and defines roles and responsibilities, communication strategies, technical procedures, and, ideally, includes associated financing means. It is often multi-sectoral, but particularities regarding the electricity network should be explicit.	1.1	1.2	70	Functional	#N/A	0	No	
1.2		Fuel Supply		1	1.2.1	80	0	Fuel supplier(s), local government	0	No	
1.2.1		Population Access and Coverage	Coverage data can be given in terms of portion of the population with access to fuel in relation to the total population, or regarding the area of the city covered by the service.	1.2	1.2.2	90	Physical	#N/A	0	No	
1.2.2		Local Government Jurisdiction	The different levels of jurisdiction of the local government over the different components of the system can be considered separately.	1.2	1.2.3	100	Organisational	#N/A	0	Yes	The different levels of jurisdiction of the local government over the different components of the system can be considered separately.
1.2.3		Continuity of Operation/Supply	The answer should take into consideration the local context in terms of 'normal circumstances', and how eventual disruptions can affect the usual functioning of the city.	1.2	1.2.4	110	Functional	#N/A	0	No	
1.2.4		Development Plan	A plan usually contains the definition of vision and objectives, roles and resources, institutional and technical arrangements and, ideally, associated financing means.	1.2	1.2.5	120	Functional	#N/A	0	No	
1.2.5		Contingency Plan	A contingency plan is usually drawn on a risk assessment, and defines preparedness, mitigation, response and recovery measures in case of emergencies. It commonly assigns and defines roles and responsibilities, communication strategies, technical procedures, and, ideally, includes associated financing means. It is often multi-sectoral, but particularities regarding the fuel supply should be explicit.	1.2	1.3	130	Functional	#N/A	0	No	
1.3		Gas Supply		1	1.3.1	140	0	Gas supplier(s), local government	0	No	
1.3.1		Population Access and Coverage	Note that there are different types of piped distribution networks according to the pipes' diameter and gas pressure. Natural gas can be distributed from gas terminals, producing wells or fields, directly to homes and industries or indirectly through gas distribution companies.	1.3	1.3.2	150	Physical	#N/A	0	No	
1.3.2		Local Government Jurisdiction	The different levels of jurisdiction of the local government over the different components of the system can be considered separately.	1.3	1.3.3	160	Organisational	#N/A	0	Yes	The different levels of jurisdiction of the local government over the different components of the system can be considered separately.
1.3.3		Continuity of Operation/Supply	Note that there different types of piped distribution networks according to the pipes' diameter and gas pressure. Natural gas can be distributed from gas terminals, producing wells or fields, directly to homes and industries or indirectly through gas distribution companies.	1.3	1.3.4	170	Functional	#N/A	0	No	
1.3.4		Development Plan	A plan usually contains the definition of vision and objectives, roles and resources, institutional and technical arrangements and, ideally, associated financing means.	1.3	1.3.5	180	Functional	#N/A	0	No	
1.3.5		Contingency Plan	A contingency plan is usually drawn on a risk assessment, and defines preparedness, mitigation, response and recovery measures in case of emergencies. It commonly assigns and defines roles and responsibilities, communication strategies, technical procedures, and, ideally, includes associated financing means. It is often multi-sectoral, but particularities regarding the gas supply should be explicit.	1.3	1.4	190	Functional	#N/A	0	No	
1.4		Solid Waste		1	1.4.1	200	0	Solid waste collection, treatment and/or disposal company(ies), surveys, local government	0	No	
1.4.1		Collection Coverage	Coverage data can be given in terms of fraction of the population that are covered by a waste collection system in relation to total population, or regarding area of the city covered by the service.	1.4	1.4.2	210	Physical	#N/A	0	No	
1.4.2		Disposal	Regard solid waste adequately disposed as all waste that is sent to authorised recycling, composting and/or incineration facilities, landfills or other authorised destinations.	1.4	1.4.3	220	Physical	#N/A	0	No	
1.4.3		Local Government Jurisdiction	The different levels of jurisdiction of the local government over the different components of the system can be considered separately.	1.4	1.4.4	230	Organisational	#N/A	0	Yes	The different levels of jurisdiction of the local government over the different components of the system can be considered separately.
1.4.4		Continuity of Operation	Note that the solid waste collection system should provide a reliable and regular service, taking into consideration the solid waste generation rate, public health and environmental issues.	1.4	1.4.5	240	Functional	#N/A	0	No	
1.4.5		Development Plan	A plan usually contains the definition of vision and objectives, roles and resources, institutional and technical arrangements and, ideally, associated financing means.	1.4	1.4.6	250	Functional	#N/A	0	No	
1.4.6		Contingency Plan	A contingency plan is usually drawn on a risk assessment, and defines preparedness, mitigation, response and recovery measures in case of emergencies. It commonly assigns and defines roles and responsibilities, communication strategies, technical procedures, and, ideally, includes associated financing means. It is often multi-sectoral, but particularities regarding the solid waste network should be explicit.	1.4	1.5	260	Functional	#N/A	0	No	
1.5		Telecommunications		1	1.5.1	270	0	#N/A	0	No	
1.5.1		Emergency and Alert		1.5	1.5.1.1	280	0	Local government, emergency and rescue organisations	0	No	
1.5.1.1		Availability	The different spheres and responsibilities within the local government and third-party stakeholders should be taken into account. For example, only certain government departments or specific areas of the city need to be notified of particular occurrences.	1.5.1	1.5.1.2.	290	Physical	#N/A	0	No	
1.5.1.2		Local Government Jurisdiction	The different levels of jurisdiction of the local government over the different components of the system can be considered separately. The different spheres and responsibilities within the local government and third-party stakeholders should be taken into account. For example, only certain government departments or specific areas of the city need to be notified of particular occurrences.	1.5.1	1.5.1.3	300	Organisational	#N/A	0	Yes	The different levels of jurisdiction of the local government over the different components of the system can be considered separately. The different spheres and responsibilities within the local government and third-party stakeholders should be taken into account. For example, only certain government departments or specific areas of the city need to be notified of particular occurrences.
1.5.1.3		Operation	The different alert system(s) should be considered separately.	1.5.1	1.5.1.4	310	Functional	#N/A	0	Yes	The different alert system(s) should be considered separately.
1.5.1.4		Development Plan	A plan usually contains the definition of vision and objectives, roles and resources, institutional and technical arrangements and, ideally, associated financing means.	1.5.1	1.5.2	320	Functional	#N/A	0	No	
1.5.2		Internet		1.5	1.5.2.1	330	0	Internet service and telecommunications provider(s), surveys, and/or local government	0	No	
1.5.2.1		Population Access and Coverage	All locations of internet access should be considered, including offices, cyber cafes, libraries, etc. Regard both fixed and mobile internet access means including computers, smart phones, video game consoles, etc.	1.5.2	1.5.2.3	340	Physical	#N/A	0	No	
1.5.2.3		Continuity of Operation	The answer should take into account the local context in terms of 'normal circumstances', and how eventual disruptions can affect the usual functioning of the city.	1.5.2	1.5.2.4	350	Functional	#N/A	0	No	
1.5.2.4		Development Plan	A plan usually contains the definition of vision and objectives, roles and resources, institutional and technical arrangements and, ideally, associated financing means.	1.5.2	1.5.2.5	360	Functional	#N/A	0	No	
1.5.2.5		Contingency Plan	A contingency plan is usually drawn on a risk assessment, and defines preparedness, mitigation, response and recovery measures in case of emergencies. It commonly assigns and defines roles and responsibilities, communication strategies, technical procedures, and, ideally, includes associated financing means. It is often multi-sectoral, but particularities regarding the internet services should be explicit.	1.5.2	1.5.3	370	Functional	#N/A	0	No	
1.5.3		Phone		1.5	1.5.3.1	380	0	Phone company(ies), local government	0	No	
1.5.3.1		Population Access and Coverage		1.5.3	1.5.3.2	390					
1.5.3.2		Local Government Jurisdiction	The different levels of jurisdiction of the local government over the different components of the system can be considered separately.	1.5.3	1.5.3.3	400	Organisational	#N/A	0	Yes	The different levels of jurisdiction of the local government over the different components of the system can be considered separately.
1.5.3.3		Continuity of Operation	Dropped-call rate is the fraction of phone calls that are cut off before the speakers can finalise their conversation. It is usually measured in terms of percentage of the total calls.	1.5.3	1.5.3.4	410	Functional	#N/A	0	No	
1.5.3.4		Development Plan	A plan usually contains the definition of vision and objectives, roles and resources, institutional and technical arrangements and, ideally, associated financing means.	1.5.3	1.5.3.5	420	Functional	#N/A	0	No	
1.5.3.5		Contingency Plan	A contingency plan is usually drawn on a risk assessment, and defines preparedness, mitigation, response and recovery measures in case of emergencies. It commonly assigns and defines roles and responsibilities, communication strategies, technical procedures, and, ideally, includes associated financing means. It is often multi-sectoral, but particularities regarding the phone network should be explicit.	1.5.3	1.5.4	430	Functional	#N/A	0	No	
1.5.4		TV/Radio		1.5	1.5.4.1	440	0	Television and radio network(s), local government	0	No	
1.5.4.1		Population Access and Coverage	Coverage data should be based on free-to-air television channels and radio stations.	1.5.4	1.5.4.2	450	Physical	#N/A	0	No	
1.5.4.2		Local Government Jurisdiction	The different levels of jurisdiction of the local government over the different components of the system can be considered separately.	1.5.4	1.5.4.3	460	Organisational	#N/A	0	Yes	The different levels of jurisdiction of the local government over the different components of the system can be considered separately.
1.5.4.3		Continuity of Operation	The aim of this assessment is to verify if signal strenght and quality are sufficient to provide an adequate broadcast of these media.	1.5.4	1.5.4.4	470	Functional	#N/A	0	No	
1.5.4.4		Development Plan	A plan usually contains the definition of vision and objectives, roles and resources, institutional and technical arrangements and, ideally, associated financing means.	1.5.4	1.5.4.5	480	Functional	#N/A	0	No	
1.5.4.5		Contingency Plan	A contingency plan is usually drawn on a risk assessment, and defines preparedness, mitigation, response and recovery measures in case of emergencies. It commonly assigns and defines roles and responsibilities, communication strategies, technical procedures, and, ideally, includes associated financing means. It is often multi-sectoral, but particularities regarding the television and radio networks should be explicit.	1.5.4	1.6	490	Functional	#N/A	0	No	
1.6		Wastewater		1	1.6.1	500	0	Wastewater collection and treatment company(ies), surveys, local government	0	No	
1.6.1		Collection System	Population data can be given in terms of fraction of the considered population in relation to total population, or regarding area of the city covered.	1.6	1.6.2	510	Physical	#N/A	0	No	
1.6.2		Treatment System	Consider wastewater treatment as the process that improves and purifies the water, removing some or all of the contaminants, transforming it into an effluent that can be reused or returned to the water cycle with minimal environmental impact.	1.6	1.6.3	520	Physical	#N/A	0	No	
1.6.3		Local Government Jurisdiction	The different levels of jurisdiction of the local government over the different components of the system can be considered separately.	1.6	1.6.4	530	Organisational	#N/A	0	Yes	The different levels of jurisdiction of the local government over the different components of the system can be considered separately.
1.6.4		Continuity of Operation	The wastewater collection system should provide a reliable and regular service preventing service interruptions and failures that can result in overflows or discharges of untreated wastewater.	1.6	1.6.5	540	Functional	#N/A	0	No	
1.6.5		Development Plan	A plan usually contains the definition of vision and objectives, roles and resources, institutional and technical arrangements and, ideally, associated financing means.	1.6	1.6.6	550	Functional	#N/A	0	No	
1.6.6		Contingency Plan	A contingency plan is usually drawn on a risk assessment, and defines preparedness, mitigation, response and recovery measures in case of emergencies. It commonly assigns and defines roles and responsibilities, communication strategies, technical procedures, and, ideally, includes associated financing means. It is often multi-sectoral, but particularities regarding the wastewater network should be explicit.	1.6	1.7	560	Functional	#N/A	0	No	
1.7		Water Supply		1	1.7.1	570	0	Water company(ies), local government	0	No	
1.7.1		Population Access and Coverage	Population data can be given in terms of the percentage of the considered population in relation to the total population.	1.7	1.7.2	580	Physical	#N/A	0	No	
1.7.2		Local Government Jurisdiction	The different levels of jurisdiction of the local government over the different components of the system can be considered separately.	1.7	1.7.3	590	Organisational	#N/A	0	Yes	The different levels of jurisdiction of the local government over the different components of the system can be considered separately.
1.7.3		Continuity of Operation/Supply	Interruptions to the flow of drinking water at the tap or source can be generated either through intermittent sources or be the result of engineering inefficiencies on the collection, treatment, storage or water distribution systems. The existence of service reservoirs, that is, reservoirs that store treated water, allows fluctuations in demand to be accommodated and therefore are also of relevance.	1.7	1.7.4	600	Functional	#N/A	0	No	
1.7.4		Development Plan	A plan usually contains the definition of vision and objectives, roles and resources, institutional and technical arrangements and, ideally, associated financing means.	1.7	1.7.5	610	Functional	#N/A	0	No	
1.7.5		Contingency Plan	A contingency plan is usually drawn on a risk assessment, and defines preparedness, mitigation, response and recovery measures in case of emergencies. It commonly assigns and defines roles and responsibilities, communication strategies, technical procedures, and, ideally, includes associated financing means. It is often multi-sectoral, but particularities regarding the water supply system should be explicit.	1.7	2	620	Functional	#N/A	0	No	
2		Built Environment		0	2.1	630	0	#N/A	0	No	
2.1		Urban Fabric		2	2.1.1	640	0	Local government, surveys	0	No	
2.1.1		Land Cover		2.1	2.1.2	650					
