Indicator	Type	ORDER	Description
1.1	General Consideration(s)	10	All sources of electricity supply should be included in the assessment (e.g. city network, generators, solar panels, windmills, etc.).
1.1.1	Consideration(s)	20	Note that there different types of distribution system design: radial, loop or grid. It is important to consider if individual sources are connected to the main network. This influences the coverage and potential spare capacity of the system, as well as the resilience of the network in terms of redundancy.
1.1.1	Consideration(s)	30	Coverage data can be given in terms of fraction of the population with access to electricity in relation to total population, or regarding area of the city covered by the service.
1.1.1	Consideration(s)	40	For spare capacity provision, the answer should consider if the current system can accommodate the anticipated growth in demand within the planned future.
1.1.1	Example(s)	50	The population with access to any form of supply can be 100%; however, only 80% can be connected to the municipal network, whilst the remaining are individual/alternative sources such as generators or solar panels.
1.1.1	Example(s)	60	The spare capacity can come from different sources, such as additional capacity of the actual municipal network, or individual/alternative sources with the possibility to feed back into the main grid.
1.1.2	Consideration(s)	70	The different levels of jurisdiction of the local government over the different components of the system can be considered separately.
1.1.2	Consideration(s)	80	This entails all relevant local government entities, and their competences to perform the management of institutional, operational and infrastructural aspects of the electricity supply network, including the coordination of the different stakeholders.
1.1.2	Example(s)	90	A city with a local public enterprise and a private supplier providing electricity can have different levels of jurisdiction over each one. For the former, it would normally 'fully controls and operates' over the entity, whilst for the latter it could exert influence over the decision-making process, however no involvement in the operation.
1.1.3	Consideration(s)	100	Note that there different types of distribution system design: radial, loop or grid. This influences the resilience of the network in terms of robustness by providing alternatives for a continuous supply. The existence of backup sources is also of relevance. The assessment should consider number of disruptions and corresponding times, as well as sensitive network components which are more likely to cause interruptions.
1.1.3	Consideration(s)	110	The answer should take into account the local context in terms of 'normal circumstances', and how eventual disruptions can affect the usual functioning of the city.
1.1.3	Example(s)	120	A city with daily blackouts, but that still remains fully operational, can consider those as 'no major disruptions'. On the other hand, in the case an eventual blackout of a few hours incurs in substantial setbacks, the answer would be 'significant disruptions'.
1.1.3	Example(s)	130	Seasonal disruptions' would be the answer in cases where dry seasons affect the operation of hydropower plants, causing issues in the supply.
1.1.4	Consideration(s)	140	A plan usually contains the definition of vision and objectives, roles and resources, institutional and technical arrangements and, ideally, associated financing means.
