Parent	Short Desc	Long Desc	Help Text	Placeholder	QTYPE	ORDER	Not Applicable	OPTION	MoV	Dimension	Units	[+]
4.1.1.1	Annual average concentration	Annual average concentration			CHAR_FIELD	400		FF	A	Functional	Yes	No
4.1.1.1	Exceedance days (above 50 μg/m3)	Exceedance days (above 50 μg/m3)			CHAR_FIELD	500		FF	A	Functional	Yes	No
4.1.1.2	Annual average concentration	Annual average concentration			CHAR_FIELD	700		FF	A	Functional	Yes	No
4.1.1.2	Exceedance days (above 25 μg/m3)	Exceedance days (above 25 μg/m3)			CHAR_FIELD	800		FF	A	Functional	Yes	No
4.1.1.3	Annual average concentration	Annual average concentration			CHAR_FIELD	1000		FF	A	Functional	Yes	No
4.1.1.3	Exceedance days (above 200 μg/m3)	Exceedance days (above 200 μg/m3)			CHAR_FIELD	1100		FF	A	Functional	Yes	No
4.1.1.4	Annual average concentration	Annual average concentration			CHAR_FIELD	1300		FF	A	Functional	Yes	No
4.1.1.4	Exceedance days (above 500 μg/m3)	Exceedance days (above 500 μg/m3)			CHAR_FIELD	1400		FF	A	Functional	Yes	No
4.1.1.5	Annual average concentration	Annual average concentration			CHAR_FIELD	1600		FF	A	Functional	Yes	No
4.1.1.5	Exceedance days (days with at least an 8-hour exposure period exceeding 100 μg/m3)	Exceedance days (days with at least an 8-hour exposure period exceeding 100 μg/m3)			CHAR_FIELD	1700		FF	A	Functional	Yes	No
4.1.2	Local Government Jurisdiction	Local Government Jurisdiction			SELECT_SINGLE	1800		SC2	NA	Organisational		Yes
4.1.3	Development Plan	Development Plan			SELECT_SINGLE	1900		SC4	NA	Functional		No
4.1.3	For what spatial scale has the development plan been developed?	For what spatial scale has the development plan been developed?			SELECT_MULTI	2000		MC2	NS	Functional		No
4.1.4	Contingency Plan	Contingency Plan			SELECT_SINGLE	2100		SC5	NA	Functional		No
4.1.4	For what spatial scale has the contingency plan been developed?	For what spatial scale has the contingency plan been developed?			SELECT_MULTI	2200		MC2	NS	Functional		No
4.2.1	Water body type	Water body type			SELECT_SINGLE	2500		SC9	NA	Physical		No
4.2.1	Water body usage(s)	Water body usage(s)			SELECT_MULTI	2600		MC3	NA	Physical		No
4.2.1	Water body area	Water body area			CHAR_FIELD	2700		FF	NS	Physical	Yes	No
4.2.2	Local Government Jurisdiction	Local Government Jurisdiction			SELECT_SINGLE	2800		SC2	NA	Organisational		No
4.2.3	Is the water quality monitored on a regular basis?	Is the water quality monitored on a regular basis?			SELECT_SINGLE	3000		SC1	NA	Functional		No
4.2.3	If so, does it comply with applicable regulation and standards?	If so, does it comply with applicable regulation and standards?			SELECT_SINGLE	3100		SC1	NYS	Functional		No
4.2.4	Development Plan	Development Plan			SELECT_SINGLE	3200		SC4	NA	Functional		No
4.2.4	For what spatial scale has the development plan been developed?	For what spatial scale has the development plan been developed?			SELECT_MULTI	3300		MC2	NS	Functional		No
4.2.5	Contingency Plan	Contingency Plan			SELECT_SINGLE	3400		SC5	NA	Functional		No
4.2.5	For what spatial scale has the contingency plan been developed?	For what spatial scale has the contingency plan been developed?			SELECT_MULTI	3500		MC2	NS	Functional		No
4.3.1	Green spaces area	Green spaces area			CHAR_FIELD	3800		FF	NS	Physical	Yes	No
4.3.1	Protected areas	Protected areas			CHAR_FIELD	3900		FF	NS	Physical	Yes	No
4.3.1	Green spaces coverage	Green spaces coverage			CHAR_FIELD	4000		FF	NS	Physical	Yes	No
4.3.2	Local Government Jurisdiction	Local Government Jurisdiction			SELECT_SINGLE	4100		SC2	NA	Organisational		Yes
4.3.3	Operation and Maintenance	Operation and Maintenance			SELECT_SINGLE	4200		SC4	NS	Functional		Yes
4.3.4	Development Plan	Development Plan			SELECT_SINGLE	4300		SC4	NA	Functional		Yes
4.3.4	For what spatial scale has the development plan been developed?	For what spatial scale has the development plan been developed?			SELECT_MULTI	4400		MC2	NS	Functional		No
4.3.5	Contingency Plan	Contingency Plan			SELECT_SINGLE	4500		SC5	NA	Functional		Yes
4.3.5	For what spatial scale has the contingency plan been developed?	For what spatial scale has the contingency plan been developed?			SELECT_MULTI	4600		MC2	NS	Functional		No
