Parent	Short Desc	Long Desc	Help Text	Placeholder	QTYPE	ORDER	Not Applicable	OPTION	MoV	Dimension	Units	[+]
5.1.1	Municipal services coverage	Municipal services coverage			CHAR_FIELD	300		FF	NA	Physical	Yes	No
5.1.1	If coverage is not 100%, please indicate reason(s)	If coverage is not 100%, please indicate reason(s)			SELECT_MULTI	400		MC1	NS	Physical		No
5.1.2	Number of local public officials elected	Number of local public officials elected			CHAR_FIELD	600		FF	NS	Physical		No
5.1.2	Number of local public officials appointed	Number of local public officials appointed			CHAR_FIELD	700		FF	NS	Physical		No
5.1.2	Representatives of vulnerable social groups 	Representatives of vulnerable social groups 	Representatives of vulnerable social groups among local public officials		CHAR_FIELD	800		FF	NS	Physical	Yes	No
5.1.3	Are policies, laws, regulation and city plans publicly published?	Are policies, laws, regulation and city plans publicly published?			SELECT_SINGLE	1000		SC1	NS	Functional		No
5.1.3	Are financial reports from local government publicly published?	Are financial reports from local government publicly published?			SELECT_SINGLE	1100		SC1	NS	Functional		No
5.1.3	Is there an independent auditing body for local government finances?	Is there an independent auditing body for local government finances?			SELECT_SINGLE	1200		SC1	NS	Functional		No
5.1.3	Are there participatory tools put in place that promote two-way communication between the local government and the population?	Are there participatory tools put in place that promote two-way communication between the local government and the population?			SELECT_SINGLE	1300		SC1	NS	Functional		No
5.1.3	Does the local government provide open data sources for key aspects such as government finance, socio-cultural and economic issues, environment, etc.?	Does the local government provide open data sources for key aspects such as government finance, socio-cultural and economic issues, environment, etc.?			SELECT_SINGLE	1400		SC1	NS	Functional		No
5.1.4	Development Plan	Development Plan			SELECT_SINGLE	1500		SC4	NS	Functional		No
5.1.5	Contingency Plan	Contingency Plan			SELECT_SINGLE	1600		SC5	NS	Functional		No
5.2.1	Representativeness	Economic activities represented by associations			CHAR_FIELD	1800		FF	A	Physical		No
5.2.2	Development Plan	Development Plan			SELECT_SINGLE	1900		SC4	NA	Functional		No
5.2.2	For what spatial scale has the development plan been developed?	For what spatial scale has the development plan been developed?			SELECT_MULTI	2000		MC2	NS	Functional		No
5.3.1	Neighbourhood with representative associations	Neighbourhood with representative associations			CHAR_FIELD	2300		FF	A	Physical	Yes	No
5.3.1	Number of civil society organisations	Number of civil society organisations			CHAR_FIELD	2400		FF	A	Physical		No
5.3.2	Development Plan	Development Plan			SELECT_SINGLE	2500		SC4	NA	Functional		No
5.3.2	For what spatial scale has the development plan been developed?	For what spatial scale has the development plan been developed?			SELECT_MULTI	2600		MC2	NS	Functional		No
5.4.1	Institution's target	Institution's target			CHAR_FIELD	2900		FF	A	Physical		No
5.4.1	Development Plan	Development Plan			SELECT_SINGLE	3000		SC4	NA	Functional		No
5.4.2	For what spatial scale has the development plan been developed?	For what spatial scale has the development plan been developed?			SELECT_MULTI	3100		MC2	NS	Functional		No
