Parent	Short Desc	Long Desc	Help Text	Placeholder	QTYPE	ORDER	Not Applicable	OPTION	MoV	Dimension	Units	[+]
6.1.1	School enrolment	School enrolment			CHAR_FIELD	300		FF	A	Physical	Yes	No
6.1.1	Attendance rate	Attendance rate			CHAR_FIELD	400		FF	A	Physical	Yes	No
6.1.1	If enrolment or attendance are not 100%, please indicate reason(s)	If enrolment or attendance are not 100%, please indicate reason(s)			SELECT_MULTI	500		MC1	NA	Physical		No
6.1.1	Spare capacity available?	Spare capacity available?			SELECT_SINGLE	600		SC1	NYS	Physical		No
6.1.1	Pupil/teacher ratio	Pupil/teacher ratio			CHAR_FIELD	700		FF	A	Physical		No
6.1.1	Adult population that has attained primary education	Adult population that has attained primary education	Adult population that has attained at least primary education		CHAR_FIELD	800		FF	A	Physical	Yes	No
6.1.1	Adult population that has attained secondary education	Adult population that has attained secondary education	Adult population that has attained at least secondary education		CHAR_FIELD	900		FF	A	Physical	Yes	No
6.1.1	Adult population that has attained tertiary education	Adult population that has attained tertiary education	Adult population that has attained tertiary education		CHAR_FIELD	1000		FF	A	Physical	Yes	No
6.1.1	Adult literacy rate	Adult literacy rate			CHAR_FIELD	1100		FF	A	Physical	Yes	No
6.1.2	Local Government Jurisdiction	Local Government Jurisdiction			SELECT_SINGLE	1200		SC2	NA	Organisational		Yes
6.1.3	Number of teaching days lost in last academic year	Number of teaching days lost in last academic year			CHAR_FIELD	1400		FF	NY	Functional	Yes	No
6.1.3	What is the level of impact of these disruptions?	What is the level of impact of these disruptions?			SELECT_SINGLE	1500		SC3	NYS	Functional		No
6.1.4	Development Plan	Development Plan			SELECT_SINGLE	1600		SC4	NA	Functional		No
6.1.4	For what spatial scale has the development plan been developed?	For what spatial scale has the development plan been developed?			SELECT_MULTI	1700		MC2	NS	Functional		No
6.1.5	Contingency Plan	Contingency Plan			SELECT_SINGLE	1800		SC5	NA	Functional		No
6.1.5	For what spatial scale has the contingency plan been developed?	For what spatial scale has the contingency plan been developed?			SELECT_MULTI	1900		MC2	NS	Functional		No
6.2.1	Number of emergency responders	Number of emergency responders			CHAR_FIELD	2200		FF	A	Physical	Yes	Yes
6.2.1	Facilities for emergency response purposes	Facilities for emergency response purposes			CHAR_FIELD	2300		FF	A	Physical		No
6.2.2	Local Government Jurisdiction	Local Government Jurisdiction			#N/A	2400		SC2	NA	Organisational		No
6.2.3	Over emergency and rescue organisation(s)	Over emergency and rescue organisation(s)			SELECT_SINGLE	2500		SC2	NA	Organisational		Yes
6.2.3	Over facilities used for emergency response purposes	Over facilities used for emergency response purposes			SELECT_SINGLE	2600		SC2	NA	Organisational		Yes
6.2.3	Average response time for emergency calls	Average response time for emergency calls			CHAR_FIELD	2800		FF	A	Functional		No
6.2.4	Development Plan	Development Plan			SELECT_SINGLE	2900		SC4	NA	Functional		Yes
6.2.4	For what spatial scale has the development plan been developed?	For what spatial scale has the development plan been developed?			SELECT_MULTI	3000		MC2	NS	Functional		No
6.2.5	Contingency Plan	Contingency Plan			SELECT_SINGLE	3100		SC5	NA	Functional		Yes
6.2.5	For what spatial scale has the contingency plan been developed?	For what spatial scale has the contingency plan been developed?			SELECT_MULTI	3200		MC2	NS	Functional		No
6.3.1	Malnutrition level	Malnutrition level			CHAR_FIELD	3500		FF	A	Physical	Yes	No
6.3.1	Urban farming land share	Urban farming land share			CHAR_FIELD	3600		FF	A	Physical	Yes	No
6.3.2	Local Government Jurisdiction	Local Government Jurisdiction			SELECT_SINGLE	3700		SC2	NA	Organisational		Yes
6.3.3	Availability of products	Availability of products			SELECT_SINGLE	3900		SC11	NYS	Functional		No
6.3.3	Food prices inflation rate	Food prices inflation rate			CHAR_FIELD	4000		FF	A	Functional		No
