Hazards	Categories
Earthquake	Natural
Mass Movement	Natural
Volcano	Natural
Drought	Natural
Storm	Natural
Flood	Natural
Wildfire	Natural
Extreme Temperature	Natural
Epidemic and pandemic	Natural
Insect Infestation	Natural
Financial/Economical Disruption	Social
Political Disruption	Social
Cultural Issues	Social
Health Disruption	Social
Armed Conflict (War/Revolution)	Social
Terrorism	Social
Crime	Social
Cyber Crime	Social
Environmental Disaster	Environmental Disaster
Industry Disruption	Technological Disasters
Services Supply Disruption	Technological Disasters
HazMat Transport	Technological Disasters
